run_serial,run_num,trial_num,real_trial,trial_type,stimulus,rep_ttype,stim_onset,category,response,rt,cor,resp_onset,win_flip_time,goal_duration,goal_onset,face_animal_side,squareside,cor_button,irrelevant
7.0,7.0,0.0,0.0,3.0,animal0/animal01_wild_Red_headed_Woodpecker_0001_561876514.jpg-object1/object10_nat_hay_09s.jpg-word0/word01_l_lake12_2.wav,67.0,0.26141897996421903,0.0,0.0,1.8704611130524427,1.0,2.1366931159282103,0.2662004849407822,4.0,0.0,0.0,1.0,0.0,wild-nat-l
7.0,7.0,1.0,0.0,4.0,animal0/animal01_wild_Black_footed_Albatross_0025_2446371730.jpg-object1/object10_nat_root_07s.jpg-word1/word11_l_lose17_2.wav,20.0,4.328196253976785,1.0,0.0,1.805107177933678,1.0,6.136795963975601,4.331656631897204,4.0,4.0,1.0,0.0,0.0,wild-nat-l
7.0,7.0,2.0,0.0,8.0,animal1/animal11_wild_49.jpg-object1/object11_man_jewelry_10s.jpg-word1/word10_d_dig15.wav,32.0,8.350904987892136,0.0,0.0,1.6931666489690542,0.0,10.056825525942259,8.363639991963282,6.0,8.0,0.0,0.0,1.0,wild-man-d
7.0,7.0,3.0,0.0,7.0,animal1/animal10_dom_00000400_014.jpg-object1/object11_man_football_09s.jpg-word0/word01_l_lake9.wav,63.0,14.3782871409785,1.0,0.0,1.8220607150578871,1.0,16.216893644887023,14.394815037958324,6.0,14.0,1.0,0.0,0.0,dom-man-l
7.0,7.0,4.0,0.0,1.0,animal0/animal01_wild_Downy_Woodpecker_0024_2266194677.jpg-object0/object00_nat_pecan_05s.jpg-word0/word00_d_door11.wav,49.0,20.414314970956184,1.0,0.0,1.8548901779577136,1.0,22.2809763639234,20.42606716696173,6.0,20.0,0.0,0.0,0.0,wild-nat-d
7.0,7.0,5.0,0.0,4.0,animal0/animal01_wild_Green_tailed_Towhee_0010_136678398.jpg-object1/object11_man_keg_05s.jpg-word1/word10_d_dig12_2.wav,4.0,26.445576573954895,1.0,0.0,1.9518170120427385,0.0,28.40906690096017,26.45722649199888,4.0,26.0,0.0,1.0,1.0,wild-man-d
7.0,7.0,6.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,30.47263613191899,-1.0,1.0,0.4957484019687399,1.0,30.985050094895996,30.48928375390824,4.0,30.0,1.0,0.0,1.0,st-st-st
7.0,7.0,7.0,1.0,4.0,animal0/animal01_wild_Sage_Thrasher_0004_2240091503.jpg-object1/object11_man_hourglass_08s.jpg-word1/word10_d_dig5_2.wav,68.0,34.51609288994223,1.0,0.0,1.8240639040013775,1.0,36.34513354592491,34.52104629389942,4.0,34.0,0.0,0.0,0.0,wild-man-d
7.0,7.0,8.0,1.0,1.0,animal0/animal00_dom_OIP-9e92-_qJlNI8J8gPtcm4swHaFj.jpeg-object0/object01_man_tortellini_12s.jpg-word0/word01_l_lake8_2.wav,25.0,38.55071951192804,1.0,1.0,1.824368727975525,1.0,40.37721169390716,38.55282199091744,4.0,38.0,1.0,1.0,1.0,dom-man-l
7.0,7.0,9.0,1.0,6.0,animal1/animal10_dom_00000007_004.jpg-object0/object01_man_tortellini_13s.jpg-word1/word11_l_lose16_2.wav,6.0,42.56341011996847,1.0,0.0,1.6970040469896048,0.0,44.26522064395249,42.568183507886715,4.0,42.0,0.0,1.0,1.0,dom-man-l
7.0,7.0,10.0,1.0,8.0,animal1/animal10_dom_00000069_022.jpg-object1/object11_man_tennis_ball_06s.jpg-word1/word10_d_dig1_2.wav,48.0,46.5825358069269,0.0,0.0,1.9850951069965959,1.0,48.58528081094846,46.600156647968106,4.0,46.0,1.0,1.0,0.0,dom-man-d
7.0,7.0,11.0,1.0,6.0,animal1/animal11_wild_OIP-zYBdcDlCOtl_jVRthapcBAHaJr.jpeg-object0/object00_nat_sprouts_02s.jpg-word1/word11_l_lose11_2.wav,62.0,50.61067706090398,1.0,,,,,50.61515232594684,4.0,50.0,0.0,0.0,0.0,wild-nat-l
7.0,7.0,12.0,1.0,7.0,animal1/animal10_dom_00000440_022.jpg-object1/object10_nat_crystal1_03s.jpg-word0/word00_d_door13_2.wav,47.0,54.635631589917466,1.0,0.0,1.490109405014664,0.0,56.13743716699537,54.647308889892884,4.0,54.0,0.0,1.0,1.0,dom-nat-d
7.0,7.0,13.0,1.0,3.0,animal0/animal01_wild_Red_winged_Blackbird_0007_495139194.jpg-object1/object10_nat_pine_tree_09s.jpg-word0/word00_d_door13.wav,51.0,58.722745360923,0.0,1.0,1.7762665689224377,1.0,60.50545447890181,58.72916768293362,6.0,58.0,0.0,0.0,1.0,wild-nat-d
7.0,7.0,14.0,1.0,8.0,animal1/animal11_wild_OIP-cq1cr4yNilrawd9yazNpswHaFI.jpeg-object1/object11_man_tripod_05s.jpg-word1/word11_l_lose13.wav,24.0,64.73818873695564,0.0,1.0,1.93802121700719,1.0,66.68152674590237,64.74346578295808,4.0,64.0,1.0,0.0,1.0,wild-man-l
7.0,7.0,15.0,1.0,7.0,animal1/animal10_dom_00000375_024.jpg-object1/object11_man_toothbrush_12s.jpg-word0/word01_l_lake2_2.wav,63.0,68.75278834090568,1.0,0.0,1.8905654260888696,0.0,70.6494605949847,68.75886816391721,4.0,68.0,1.0,1.0,1.0,dom-man-l
7.0,7.0,16.0,1.0,5.0,animal1/animal11_wild_OIP-SewZcKJ0pA6b3cLOw39NfQHaFj.jpeg-object0/object01_man_breadstick_10s.jpg-word0/word00_d_door8_2.wav,53.0,72.76907473395113,0.0,1.0,1.8914526849985123,0.0,74.66563947091345,72.774165780982,4.0,72.0,0.0,1.0,0.0,wild-man-d
7.0,7.0,17.0,1.0,3.0,animal0/animal01_wild_Red_bellied_Woodpecker_0021_2442432463.jpg-object1/object10_nat_sunflower_01b.jpg-word0/word00_d_door2_2.wav,35.0,76.78959286189638,0.0,,,,,76.80610264791176,4.0,76.0,1.0,0.0,1.0,wild-nat-d
7.0,7.0,18.0,1.0,3.0,animal0/animal00_dom_OIP-9OnPmCKrbb7zY2bjGlziywHaFj.jpeg-object1/object11_man_hourglass_06n.jpg-word0/word00_d_door4_2.wav,19.0,80.84331771091092,0.0,0.0,1.6189150220016018,1.0,82.47363455197774,80.85469787789043,4.0,80.0,0.0,1.0,0.0,dom-man-d
7.0,7.0,19.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,84.87013436795678,-1.0,1.0,0.48297695501241833,1.0,85.36959833395667,84.8865990069462,4.0,84.0,0.0,0.0,1.0,st-st-st
7.0,7.0,20.0,1.0,6.0,animal1/animal10_dom_00000411_010.jpg-object0/object01_man_quesadilla_10s.jpg-word1/word11_l_lose2_2.wav,70.0,88.89970175689086,1.0,0.0,1.6040107409935445,1.0,90.5056765859481,88.90164106793236,4.0,88.0,1.0,0.0,0.0,dom-man-l
7.0,7.0,21.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,92.91702040599193,-1.0,0.0,0.4678052340168506,1.0,93.40169333992526,92.93386654090136,4.0,92.0,0.0,1.0,0.0,st-st-st
7.0,7.0,22.0,1.0,3.0,animal0/animal00_dom_OIP-vdryy69mIIW35L6v5AOwyQHaFj.jpeg-object1/object10_nat_bone_10s.jpg-word0/word00_d_door18.wav,67.0,96.95073349890299,0.0,,,,,96.96580360096414,4.0,96.0,1.0,1.0,0.0,dom-nat-d
7.0,7.0,23.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,100.98116494296119,-1.0,1.0,0.4520597440423444,1.0,101.44973835488781,100.99765708798077,4.0,100.0,0.0,0.0,1.0,st-st-st
7.0,7.0,24.0,1.0,1.0,animal0/animal01_wild_Chestnut_sided_Warbler_0010_211439670.jpg-object0/object00_nat_bell_pepper_04s.jpg-word0/word00_d_door14.wav,65.0,105.01130313798785,1.0,1.0,1.6853773270267993,1.0,106.6978085169103,105.01239839394111,4.0,104.0,0.0,1.0,1.0,wild-nat-d
7.0,7.0,25.0,1.0,2.0,animal0/animal01_wild_Bewick_Wren_0032_417053491.jpg-object0/object01_man_smoothie_01b.jpg-word1/word10_d_dig3_2.wav,2.0,109.02649306692183,0.0,1.0,1.638144169934094,0.0,110.66583762690425,109.02765656588599,4.0,108.0,1.0,1.0,0.0,wild-man-d
7.0,7.0,26.0,1.0,7.0,animal1/animal10_dom_00000061_018.jpg-object1/object10_nat_ivy_11s.jpg-word0/word01_l_lake17.wav,15.0,113.04365716397297,1.0,0.0,1.7817965730791911,0.0,114.84179797698744,113.05998069397174,4.0,112.0,0.0,1.0,1.0,dom-nat-l
7.0,7.0,27.0,1.0,8.0,animal1/animal10_dom_00000388_026.jpg-object1/object11_man_fire_alarm_06s.jpg-word1/word11_l_lose10.wav,56.0,117.07207483588718,0.0,1.0,1.9426513999933377,0.0,119.0178333959775,117.07514864800032,4.0,116.0,1.0,1.0,0.0,dom-man-l
7.0,7.0,28.0,1.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,121.09044517297298,-1.0,0.0,0.4865920430747792,1.0,121.59385373396799,121.10723881190643,4.0,120.0,0.0,1.0,0.0,st-st-st
