run_serial,run_num,trial_num,real_trial,trial_type,stimulus,rep_ttype,stim_onset,category,response,rt,cor,resp_onset,win_flip_time,goal_duration,goal_onset,face_animal_side,squareside,cor_button,irrelevant
1.0,1.0,0.0,0.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,0.6373588480055332,-1.0,1.0,0.45419975300319493,1.0,1.1043097410001792,0.6500943030114286,4.0,0.0,1.0,0.0,1.0,st-st-st
1.0,1.0,1.0,0.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,4.665870742988773,-1.0,0.0,0.43847726902458817,1.0,5.120309439022094,4.681809218018316,4.0,4.0,0.0,0.0,0.0,st-st-st
1.0,1.0,2.0,0.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,8.697818146029022,-1.0,1.0,0.4068192530539818,1.0,9.120377623999957,8.713536121998914,4.0,8.0,1.0,1.0,1.0,st-st-st
1.0,1.0,3.0,0.0,5.0,animal1/animal11_wild_OIP-W8MR_y2t4vJ0O0QVYrGHIgHaGM.jpeg-object0/object01_man_taco_11s.jpg-word0/word01_l_lake4_2.wav,69.0,12.741982624982484,0.0,1.0,1.7030581760336645,1.0,14.44845238700509,12.745371219993103,4.0,12.0,1.0,1.0,1.0,wild-man-l
1.0,1.0,4.0,0.0,9.0,stat/stat_1.png-stat/stat_1.png-300,-1.0,16.762645133014303,-1.0,0.0,0.3750978849711828,1.0,17.15247258398449,16.777348110976163,4.0,16.0,1.0,0.0,0.0,st-st-st
1.0,1.0,5.0,0.0,1.0,animal0/animal00_dom_OIP-LitOee2VDnGTQwZWqKDZGwHaFj.jpeg-object0/object00_nat_grapefruit_09s.jpg-word0/word00_d_door18.wav,65.0,20.987991381029133,1.0,1.0,1.344098478963133,1.0,22.33650703699095,20.992376259993762,4.0,20.0,0.0,0.0,1.0,dom-nat-d
1.0,1.0,6.0,1.0,6.0,animal1/animal11_wild_10_elephant.jpg-object0/object00_nat_walnut_07s.jpg-word1/word11_l_lose17_2.wav,6.0,25.188149331021123,1.0,0.0,1.5289090139558539,1.0,26.736579557997175,25.207650258031208,10.0,24.0,1.0,1.0,0.0,wild-nat-l
1.0,1.0,7.0,1.0,8.0,animal1/animal10_dom_00000085_020.jpg-object1/object10_nat_tulip_09s.jpg-word1/word11_l_lose5.wav,48.0,35.238232514995616,0.0,0.0,1.9465690259821713,1.0,37.20070864597801,35.25411851098761,4.0,34.0,1.0,0.0,0.0,dom-nat-l
1.0,1.0,8.0,1.0,3.0,animal0/animal01_wild_Nighthawk_0022_2620471558.jpg-object1/object11_man_keg_12s.jpg-word0/word01_l_lake10_2.wav,59.0,39.27092797198566,0.0,1.0,1.5786853400059044,1.0,40.864734839997254,39.286024036002345,4.0,38.0,0.0,1.0,1.0,wild-man-l
1.0,1.0,9.0,1.0,7.0,animal1/animal11_wild_OIP-ShBx--pSApPEWZRR6sHlCAHaJ4.jpeg-object1/object11_man_flute_05s.jpg-word0/word01_l_lake8.wav,23.0,43.30095521599287,1.0,1.0,1.7548203149926849,1.0,45.072773264022544,43.31792508502258,4.0,42.0,0.0,0.0,1.0,wild-man-l
1.0,1.0,10.0,1.0,6.0,animal1/animal11_wild_OIP-74sD_IjGYXucEibCgRwexAHaGL.jpeg-object0/object01_man_casserole_12s.jpg-word1/word11_l_lose14_2.wav,54.0,47.32894940098049,1.0,0.0,1.1316398530034348,1.0,48.464793673017994,47.33312924398342,6.0,46.0,1.0,1.0,0.0,wild-man-l
1.0,1.0,11.0,1.0,8.0,animal1/animal10_dom_00000081_014.jpg-object1/object11_man_jewelry_11s.jpg-word1/word11_l_lose10_2.wav,48.0,53.37333143298747,0.0,0.0,1.7558153640129603,1.0,55.13688251201529,53.381047895993106,4.0,52.0,0.0,0.0,0.0,dom-man-l
